group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,1483,610,2099,29872044,3297305,718232,21215,30597414,3318542,
,,1,1000,1024,4096,true,1388,579,1972,29872058,3297305,718232,21229,30597428,3318556,
,,1,1000,1024,4096,true,1395,539,1938,29872058,3297305,718232,21201,30597428,3318528,
bandwidth_sweep,,25,5,1024,2048,true,53227,2269,57948,29872646,3298565,716170,21215,30770351,3992474,
bandwidth_sweep,,25,5,1024,2048,true,53232,2266,57863,29872674,3298635,716170,21215,30770379,3992544,
bandwidth_sweep,,25,5,1024,2048,true,53269,2270,57915,29872730,3298705,716184,21229,30770449,3992628,
bandwidth_sweep,,25,5,1024,2048,true,53312,2272,57958,29872674,3298635,716170,21215,30770379,3992544,
bandwidth_sweep,,25,5,1024,2048,true,53104,2214,57687,29872674,3298061,716170,21201,30770393,3991970,
bandwidth_sweep,,25,5,1024,2048,true,53329,2269,57984,29872716,3298677,716170,21215,30770435,3992600,
bandwidth_sweep,,25,5,1024,2048,true,53280,2265,57923,29872828,3298789,716184,21229,30770561,3992726,
bandwidth_sweep,,25,5,1024,2048,true,53263,2269,57895,29872646,3298565,716170,21215,30770351,3992474,
bandwidth_sweep,,25,5,1024,2048,true,53262,2263,57886,29872674,3298635,716170,21215,30770379,3992544,
bandwidth_sweep,,25,5,1024,2048,true,53314,2263,57931,29872744,3298705,716184,21229,30770463,3992628,
bandwidth_sweep,,25,10,1024,2048,true,27150,1772,30624,29872646,3298565,716170,21201,30770351,3992460,
bandwidth_sweep,,25,10,1024,2048,true,27214,1777,30698,29872646,3298565,716170,21201,30770351,3992460,
bandwidth_sweep,,25,10,1024,2048,true,27168,1775,30641,29872576,3298565,716170,21201,30770281,3992460,
bandwidth_sweep,,25,10,1024,2048,true,27234,1829,30753,29872730,3298607,716170,21215,30770435,3992516,
bandwidth_sweep,,25,10,1024,2048,true,27184,1833,30724,29872590,3298579,716170,21215,30770295,3992488,
bandwidth_sweep,,25,10,1024,2048,true,27131,1765,30589,29872604,3298523,716170,21201,30770309,3992418,
bandwidth_sweep,,25,10,1024,2048,true,27106,1828,30649,29872660,3298663,716170,21215,30770365,3992572,
bandwidth_sweep,,25,10,1024,2048,true,27185,1778,30672,29872590,3298537,716170,21201,30770295,3992432,
bandwidth_sweep,,25,10,1024,2048,true,27225,1779,30717,29872660,3298593,716170,21201,30770365,3992488,
bandwidth_sweep,,25,10,1024,2048,true,27200,1778,30689,29872562,3298523,716170,21201,30770267,3992418,
bandwidth_sweep,,25,20,1024,2048,true,14240,1559,17230,29872674,3298663,716170,21215,30770379,3992572,
bandwidth_sweep,,25,20,1024,2048,true,14185,1622,17240,29872828,3298775,716170,21215,30770533,3992684,
bandwidth_sweep,,25,20,1024,2048,true,14203,1564,17196,29872814,3298789,716170,21215,30770519,3992698,
bandwidth_sweep,,25,20,1024,2048,true,14153,1570,17153,29872856,3298789,716170,21201,30770561,3992684,
bandwidth_sweep,,25,20,1024,2048,true,14199,1574,17198,29872758,3298663,716170,21215,30770463,3992572,
bandwidth_sweep,,25,20,1024,2048,true,14208,1572,17212,29872814,3298789,716170,21215,30770519,3992698,
bandwidth_sweep,,25,20,1024,2048,true,14165,1575,17171,29872856,3298817,716170,21201,30770561,3992712,
bandwidth_sweep,,25,20,1024,2048,true,14177,1567,17185,29872828,3298803,716170,21215,30770533,3992712,
bandwidth_sweep,,25,20,1024,2048,true,14207,1566,17229,29872842,3298901,716170,21215,30770547,3992810,
bandwidth_sweep,,25,20,1024,2048,true,14201,1576,17231,29872870,3298803,716170,21201,30770575,3992698,
bandwidth_sweep,,25,50,1024,2048,true,6399,1551,9194,29872534,3298383,716184,21215,30770253,3992292,
bandwidth_sweep,,25,50,1024,2048,true,6395,1503,9149,29872464,3298159,716184,21215,30770183,3992068,
bandwidth_sweep,,25,50,1024,2048,true,6383,1499,9137,29872604,3298397,716184,21215,30770323,3992306,
bandwidth_sweep,,25,50,1024,2048,true,6424,1499,9182,29872492,3298229,716184,21215,30770211,3992138,
bandwidth_sweep,,25,50,1024,2048,true,6491,1503,9252,29872478,3298229,716184,21215,30770197,3992138,
bandwidth_sweep,,25,50,1024,2048,true,6392,1493,9124,29872562,3298411,716184,21215,30770281,3992320,
bandwidth_sweep,,25,50,1024,2048,true,6427,1501,9184,29872590,3298341,716184,21215,30770309,3992250,
bandwidth_sweep,,25,50,1024,2048,true,6506,1507,9292,29872450,3298131,716184,21215,30770169,3992040,
bandwidth_sweep,,25,50,1024,2048,true,6373,1505,9145,29872604,3298383,716184,21215,30770323,3992292,
bandwidth_sweep,,25,50,1024,2048,true,6441,1504,9199,29872436,3298089,716184,21215,30770155,3991998,
bandwidth_sweep,,25,100,1024,2048,true,3875,1466,6577,29872254,3297767,716184,21215,30769973,3991676,
bandwidth_sweep,,25,100,1024,2048,true,3911,1463,6604,29872240,3297767,716184,21215,30769959,3991676,
bandwidth_sweep,,25,100,1024,2048,true,3915,1463,6594,29872240,3297795,716184,21215,30769959,3991704,
bandwidth_sweep,,25,100,1024,2048,true,3946,1426,6588,29872184,3297739,716170,21215,30769889,3991648,
bandwidth_sweep,,25,100,1024,2048,true,3904,1491,6616,29872352,3297893,716170,21201,30770057,3991788,
bandwidth_sweep,,25,100,1024,2048,true,3876,1462,6573,29872240,3297767,716184,21215,30769959,3991676,
bandwidth_sweep,,25,100,1024,2048,true,3884,1465,6592,29872240,3297753,716184,21215,30769959,3991662,
bandwidth_sweep,,25,100,1024,2048,true,3919,1466,6613,29872240,3297767,716184,21215,30769959,3991676,
bandwidth_sweep,,25,100,1024,2048,true,3907,1466,6620,29872198,3297753,716184,21215,30769917,3991662,
bandwidth_sweep,,25,100,1024,2048,true,3870,1470,6551,29872240,3297781,716184,21215,30769959,3991690,
bandwidth_sweep,,25,250,1024,2048,true,2511,1437,5180,29872100,3297515,716170,21201,30769805,3991410,
bandwidth_sweep,,25,250,1024,2048,true,2490,1458,5167,29872100,3297501,716184,21201,30769805,3991396,
