group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,1474,617,2096,29872058,3297305,718232,21215,30597428,3318542,
,,1,1000,1024,4096,true,1353,549,1906,29872058,3297305,718324,21201,30597520,3318528,
,,1,1000,1024,4096,true,1353,542,1899,29872058,3297305,718232,21201,30597428,3318528,
download_sweep,,25,100,1024,1024,true,3922,1495,6156,29872240,3297767,715146,21215,30712317,3927620,
download_sweep,,25,100,1024,1024,true,3919,1488,6127,29872254,3297767,715146,21215,30712331,3927620,
download_sweep,,25,100,1024,1024,true,3902,1464,6088,29872198,3297753,715160,21201,30712275,3927592,
download_sweep,,25,100,1024,1024,true,3927,1466,6114,29872380,3297935,715160,21201,30710745,3927774,
download_sweep,,25,100,1024,1024,true,3912,1468,6099,29872240,3297767,715160,21215,30712331,3927620,
download_sweep,,25,100,1024,1024,true,3890,1467,6079,29872254,3297809,715160,21215,30712331,3927662,
download_sweep,,25,100,1024,1024,true,3872,1515,6110,29872282,3297879,715160,21215,30712373,3927732,
download_sweep,,25,100,1024,1024,true,3810,1466,5996,29872198,3297767,715160,21215,30712289,3927620,
download_sweep,,25,100,1024,1024,true,3867,1465,6053,29872240,3297767,715160,21215,30712331,3927620,
download_sweep,,25,100,1024,1024,true,3898,1461,6080,29872240,3297739,715160,21215,30712331,3927592,
download_sweep,,25,100,1024,2048,true,3922,1492,6689,29872394,3297991,716170,21215,30770099,3991900,
download_sweep,,25,100,1024,2048,true,3957,1465,6643,29872240,3297781,716184,21215,30769959,3991690,
download_sweep,,25,100,1024,2048,true,3947,1433,6674,29872226,3297781,716170,21215,30769931,3991690,
download_sweep,,25,100,1024,2048,true,3909,1461,6576,29872240,3297753,716184,21215,30769959,3991662,
download_sweep,,25,100,1024,2048,true,3925,1463,6617,29872240,3297753,716184,21215,30769959,3991662,
download_sweep,,25,100,1024,2048,true,3877,1468,6587,29872268,3297879,716184,21215,30769987,3991788,
download_sweep,,25,100,1024,2048,true,3905,1458,6582,29872198,3297739,716184,21215,30769917,3991648,
download_sweep,,25,100,1024,2048,true,3887,1507,6624,29872240,3297739,716184,21215,30769959,3991648,
download_sweep,,25,100,1024,2048,true,3892,1520,6652,29872212,3297795,716184,21215,30769931,3991704,
download_sweep,,25,100,1024,2048,true,3905,1463,6601,29872198,3297753,716184,21215,30769917,3991662,
download_sweep,,25,100,1024,5120,true,3965,1470,7834,29872254,3297823,719256,21201,30942365,4055760,
download_sweep,,25,100,1024,5120,true,3948,1466,7757,29872254,3297781,719256,21215,30942365,4055732,
download_sweep,,25,100,1024,5120,true,3908,1491,7756,29872212,3297767,719242,21201,30942309,4055704,
download_sweep,,25,100,1024,5120,true,3870,1469,7686,29872212,3297781,719256,21201,30942323,4055718,
download_sweep,,25,100,1024,5120,true,3973,1461,7763,29872254,3297795,719256,21215,30942365,4055746,
download_sweep,,25,100,1024,5120,true,3908,1464,7708,29872240,3297767,719256,21215,30942351,4055718,
download_sweep,,25,100,1024,5120,true,3905,1465,7706,29872282,3297823,719256,21215,30942393,4055774,
download_sweep,,25,100,1024,5120,true,3909,1464,7705,29872254,3297767,719256,21215,30942365,4055718,
download_sweep,,25,100,1024,5120,true,3920,1464,7722,29872268,3297837,719348,21215,30942471,4055788,
download_sweep,,25,100,1024,5120,true,3863,1465,7676,29872212,3297767,719348,21215,30942415,4055718,
download_sweep,,25,100,1024,10240,true,3855,1465,9927,29872212,3297781,724637,21205,31229734,4119778,
download_sweep,,25,100,1024,10240,true,3887,1470,9852,29872226,3297795,724729,21219,31229840,4119806,
download_sweep,,25,100,1024,10240,true,3903,1467,9862,29872282,3297865,724637,21219,31229804,4119876,
download_sweep,,25,100,1024,10240,true,3940,1463,9871,29872212,3297781,724729,21205,31229826,4119778,
download_sweep,,25,100,1024,10240,true,3934,1459,9834,29872240,3297767,724729,21219,31229854,4119778,
download_sweep,,25,100,1024,10240,true,3915,1464,9878,29872240,3297753,724729,21219,31229854,4119764,
download_sweep,,25,100,1024,10240,true,3911,1431,9803,29872212,3297795,724715,21205,31229812,4119792,
download_sweep,,25,100,1024,10240,true,3918,1518,9934,29872240,3297795,724729,21219,31229854,4119806,
download_sweep,,25,100,1024,10240,true,3858,1463,9754,29872240,3297781,724729,21205,31229854,4119778,
download_sweep,,25,100,1024,10240,true,3992,1473,9958,29872226,3297781,724729,21219,31229840,4119792,
download_sweep,,25,100,1024,20480,true,3891,1486,10913,29872240,3297781,735676,21219,31806591,4664478,
download_sweep,,25,100,1024,20480,true,3915,1490,10958,29872268,3297767,735676,21219,31806619,4664464,
download_sweep,,25,100,1024,20480,true,3869,1457,10729,29872212,3297795,735662,21205,31806549,4664478,
download_sweep,,25,100,1024,20480,true,3914,1496,10924,29872268,3297879,735676,21219,31806619,4664576,
download_sweep,,25,100,1024,20480,true,3893,1491,10800,29872212,3297795,735676,21205,31806563,4664478,
download_sweep,,25,100,1024,20480,true,3877,1490,10832,29872198,3297767,735676,21219,31806549,4664464,
download_sweep,,25,100,1024,20480,true,3896,1492,10861,29872268,3297809,735676,21219,31806619,4664506,
download_sweep,,25,100,1024,20480,true,3792,1519,10778,29872212,3297795,735662,21205,31806549,4664478,
download_sweep,,25,100,1024,20480,true,3902,1492,10849,29872198,3297781,735676,21219,31806549,4664478,
download_sweep,,25,100,1024,20480,true,3901,1489,10719,29872226,3297809,735676,21219,31806577,4664506,
download_sweep,,25,100,1024,30720,true,3923,1515,14951,29872282,3297795,745962,21219,32381493,4920702,
download_sweep,,25,100,1024,30720,true,3883,1534,14778,29872254,3297767,745948,21219,32381451,4920674,
download_sweep,,25,100,1024,30720,true,3867,1492,14901,29872212,3297711,745948,21219,32381409,4920618,
download_sweep,,25,100,1024,30720,true,3884,1497,14913,29872198,3297753,746008,21219,32381455,4920660,
download_sweep,,25,100,1024,30720,true,3852,1517,14914,29872240,3297767,745902,21219,32381391,4920674,
download_sweep,,25,100,1024,30720,true,3935,1512,14923,29872268,3297851,745948,21219,32381465,4920758,
