group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,1451,612,2069,29872058,3297305,718232,21201,30597428,3318528,
,,1,1000,1024,4096,true,1404,537,1945,29872044,3297305,718232,21201,30597414,3318528,
,,1,1000,1024,4096,true,1347,576,1927,29872058,3297305,718232,21229,30597428,3318556,
latency_sweep,,10,100,1024,2048,true,3693,1083,6032,29872226,3297809,716184,21201,30769945,3991704,
latency_sweep,,10,100,1024,2048,true,3686,1076,5919,29872226,3297725,716184,21201,30769945,3991620,
latency_sweep,,10,100,1024,2048,true,3704,1083,5991,29872226,3297823,716184,21201,30769945,3991718,
latency_sweep,,10,100,1024,2048,true,3711,1121,5999,29872212,3297767,716184,21215,30769931,3991676,
latency_sweep,,10,100,1024,2048,true,3699,1085,5983,29872226,3297809,716184,21201,30769945,3991704,
latency_sweep,,10,100,1024,2048,true,3752,1162,6099,29872198,3297725,716184,21215,30769917,3991634,
latency_sweep,,10,100,1024,2048,true,3656,1080,5898,29872198,3297725,716184,21201,30769917,3991620,
latency_sweep,,10,100,1024,2048,true,3728,1122,6032,29872212,3297767,716184,21215,30769931,3991676,
latency_sweep,,10,100,1024,2048,true,3646,1116,5930,29872212,3297767,716276,21215,30770023,3991676,
latency_sweep,,10,100,1024,2048,true,3721,1078,5970,29872240,3297767,716184,21201,30769959,3991662,
latency_sweep,,25,100,1024,2048,true,3924,1457,6600,29872254,3297851,716184,21201,30769973,3991746,
latency_sweep,,25,100,1024,2048,true,3909,1518,6677,29872240,3297795,716184,21215,30769959,3991704,
latency_sweep,,25,100,1024,2048,true,3960,1460,6652,29872240,3297781,716184,21215,30769959,3991690,
latency_sweep,,25,100,1024,2048,true,3921,1454,6602,29872380,3297935,716184,21201,30770099,3991830,
latency_sweep,,25,100,1024,2048,true,3909,1466,6611,29872310,3297935,716184,21201,30770015,3991830,
latency_sweep,,25,100,1024,2048,true,3907,1461,6615,29872254,3297795,716184,21215,30769973,3991704,
latency_sweep,,25,100,1024,2048,true,3852,1461,6570,29872282,3297893,716184,21215,30770001,3991802,
latency_sweep,,25,100,1024,2048,true,3909,1463,6608,29872198,3297753,716184,21215,30769917,3991662,
latency_sweep,,25,100,1024,2048,true,3923,1460,6615,29872282,3297907,716276,21215,30770093,3991816,
latency_sweep,,25,100,1024,2048,true,3906,1531,6661,29872352,3297963,716184,21215,30770057,3991872,
latency_sweep,,50,100,1024,2048,true,4484,2109,7950,29872282,3297837,716170,21201,30769987,3991732,
latency_sweep,,50,100,1024,2048,true,4311,2110,7790,29872254,3297767,716170,21201,30769959,3991662,
latency_sweep,,50,100,1024,2048,true,4427,2097,7887,29872226,3297767,716184,21215,30769945,3991676,
latency_sweep,,50,100,1024,2048,true,4377,2154,7883,29872254,3297809,716184,21215,30769973,3991718,
latency_sweep,,50,100,1024,2048,true,4422,2100,7912,29872296,3297865,716276,21215,30770107,3991774,
latency_sweep,,50,100,1024,2048,true,4395,2104,7860,29872268,3297781,716184,21201,30769987,3991676,
latency_sweep,,50,100,1024,2048,true,4436,2157,7955,29872268,3297809,716184,21215,30769987,3991718,
latency_sweep,,50,100,1024,2048,true,4323,2111,7810,29872268,3297837,716170,21215,30769973,3991746,
latency_sweep,,50,100,1024,2048,true,4302,2045,7694,29872282,3297837,716170,21201,30769987,3991732,
latency_sweep,,50,100,1024,2048,true,4496,2176,8041,29872296,3297823,716184,21215,30770015,3991732,
latency_sweep,,75,100,1024,2048,true,4890,2805,9222,29872142,3297571,716170,21215,30769847,3991480,
latency_sweep,,75,100,1024,2048,true,5025,2804,9371,29872198,3297683,716262,21215,30769995,3991592,
latency_sweep,,75,100,1024,2048,true,5113,2731,9378,29872142,3297599,716170,21215,30769847,3991508,
latency_sweep,,75,100,1024,2048,true,5047,2731,9329,29872184,3297613,716170,21215,30769889,3991522,
latency_sweep,,75,100,1024,2048,true,4903,2811,9257,29872142,3297571,716170,21229,30769833,3991494,
latency_sweep,,75,100,1024,2048,true,5030,2725,9252,29872156,3297599,716170,21229,30769861,3991522,
latency_sweep,,75,100,1024,2048,true,5198,2773,9504,29872142,3297627,716170,21215,30769847,3991536,
latency_sweep,,75,100,1024,2048,true,5098,2768,9410,29872142,3297599,716170,21215,30769847,3991508,
latency_sweep,,75,100,1024,2048,true,4930,2733,9217,29872142,3297571,716170,21215,30769847,3991480,
latency_sweep,,75,100,1024,2048,true,4862,2733,9137,29872128,3297557,716170,21215,30769833,3991466,
latency_sweep,,100,100,1024,2048,true,5446,3454,10534,29872142,3297543,716170,21215,30769847,3991452,
latency_sweep,,100,100,1024,2048,true,5540,3371,10540,29872170,3297585,716170,21201,30769903,3991508,
latency_sweep,,100,100,1024,2048,true,5529,3445,10644,29872142,3297543,716170,21215,30769861,3991480,
latency_sweep,,100,100,1024,2048,true,5576,3373,10621,29872170,3297599,716170,21215,30769903,3991536,
latency_sweep,,100,100,1024,2048,true,5572,3366,10600,29872156,3297571,716170,21201,30769889,3991494,
latency_sweep,,100,100,1024,2048,true,5515,3456,10641,29872142,3297543,716170,21215,30769861,3991466,
latency_sweep,,100,100,1024,2048,true,5399,3459,10533,29872142,3297571,716170,21215,30769875,3991508,
latency_sweep,,100,100,1024,2048,true,5405,3370,10442,29872142,3297543,716170,21201,30769875,3991466,
latency_sweep,,100,100,1024,2048,true,5659,3369,10692,29872156,3297599,716170,21201,30769889,3991508,
latency_sweep,,100,100,1024,2048,true,5476,3468,10615,29872142,3297543,716170,21215,30769875,3991466,
latency_sweep,,150,100,1024,2048,true,6524,4727,13192,29872114,3297515,716184,21243,30769833,3991452,
latency_sweep,,150,100,1024,2048,true,6604,4696,13247,29872142,3297543,716184,21243,30769861,3991480,
latency_sweep,,150,100,1024,2048,true,6559,4690,13198,29872142,3297515,716184,21243,30769861,3991452,
latency_sweep,,150,100,1024,2048,true,6651,4621,13185,29872100,3297515,716184,21229,30769819,3991438,
latency_sweep,,150,100,1024,2048,true,6304,4703,12881,29872114,3297515,716198,21229,30769847,3991438,
latency_sweep,,150,100,1024,2048,true,6590,4663,13170,29872114,3297515,716198,21243,30769847,3991452,
latency_sweep,,150,100,1024,2048,true,6621,4843,13402,29872114,3297515,716184,21243,30769833,3991452,
latency_sweep,,150,100,1024,2048,true,6566,4693,13276,29872100,3297501,716198,21229,30769833,3991424,
latency_sweep,,150,100,1024,2048,true,6510,4799,13233,29872114,3297515,716198,21243,30769847,3991452,
latency_sweep,,150,100,1024,2048,true,6439,4647,12932,29872100,3297501,716198,21243,30769833,3991438,
latency_sweep,,200,100,1024,2048,true,7528,6196,16232,29872072,3297431,716198,21243,30769805,3991368,
latency_sweep,,200,100,1024,2048,true,7744,6157,16348,29872100,3297445,716198,21243,30769833,3991382,
latency_sweep,,200,100,1024,2048,true,7732,6147,16380,29872086,3297445,716198,21243,30769819,3991382,
latency_sweep,,200,100,1024,2048,true,7530,6058,16084,29872086,3297459,716198,21243,30769819,3991396,
latency_sweep,,200,100,1024,2048,true,7659,6059,16135,29872086,3297459,716198,21243,30769819,3991396,
latency_sweep,,200,100,1024,2048,true,7463,6112,15781,29872086,3297459,716198,21243,30769819,3991396,
latency_sweep,,200,100,1024,2048,true,7719,6149,16310,29872128,3297431,716198,21257,30769861,3991382,
latency_sweep,,200,100,1024,2048,true,7609,6253,16374,29872086,3297417,716198,21243,30769819,3991354,
latency_sweep,,200,100,1024,2048,true,7499,6157,16169,29872086,3297417,716198,21243,30769819,3991354,
latency_sweep,,200,100,1024,2048,true,7450,6160,16023,29872072,3297389,716198,21257,30769805,3991340,
