group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,980,446,1446,33561892,3424981,1018338,21113,34598047,3446094,
,,1,1000,1024,4096,true,917,396,1334,33561928,3425149,1018350,21101,34598095,3446250,
,,1,1000,1024,4096,true,919,396,1334,33561892,3425089,1018338,21101,34598047,3446190,
bandwidth_sweep,,25,5,1024,2048,true,59184,1975,61173,33562120,3425209,903938,21113,34477725,3446322,
bandwidth_sweep,,25,5,1024,2048,true,59278,1969,61262,33562132,3425221,903938,21113,34477737,3446334,
bandwidth_sweep,,25,5,1024,2048,true,59215,1967,61196,33562108,3425233,903938,21113,34477713,3446346,
bandwidth_sweep,,25,5,1024,2048,true,59113,1962,61092,33562108,3425209,903938,21113,34477713,3446322,
bandwidth_sweep,,25,5,1024,2048,true,59165,1965,61146,33562120,3425209,903938,21113,34477725,3446322,
bandwidth_sweep,,25,5,1024,2048,true,59259,1981,61254,33562132,3425221,903938,21113,34477737,3446334,
bandwidth_sweep,,25,5,1024,2048,true,59169,1970,61153,33562096,3425221,903938,21113,34477701,3446334,
bandwidth_sweep,,25,5,1024,2048,true,59052,1973,61038,33562108,3425197,903938,21113,34477713,3446310,
bandwidth_sweep,,25,5,1024,2048,true,59175,1959,61149,33562120,3425185,903938,21113,34477725,3446298,
bandwidth_sweep,,25,5,1024,2048,true,59090,1969,61076,33562096,3425221,903938,21113,34477701,3446334,
bandwidth_sweep,,25,10,1024,2048,true,29846,1540,31400,33562168,3425473,903938,21113,34477773,3446586,
bandwidth_sweep,,25,10,1024,2048,true,29839,1521,31372,33562216,3425497,903938,21113,34477821,3446610,
bandwidth_sweep,,25,10,1024,2048,true,29846,1528,31388,33562180,3425473,903938,21113,34477785,3446586,
bandwidth_sweep,,25,10,1024,2048,true,29848,1528,31393,33562168,3425473,903938,21113,34477773,3446586,
bandwidth_sweep,,25,10,1024,2048,true,29842,1541,31396,33562168,3425473,903938,21113,34477773,3446586,
bandwidth_sweep,,25,10,1024,2048,true,29844,1528,31384,33562168,3425473,903938,21113,34477773,3446586,
bandwidth_sweep,,25,10,1024,2048,true,29869,1525,31406,33562168,3425461,903938,21113,34477773,3446574,
bandwidth_sweep,,25,10,1024,2048,true,29839,1524,31379,33562204,3425473,903938,21113,34477809,3446586,
bandwidth_sweep,,25,10,1024,2048,true,29929,1531,31473,33562492,3425893,903938,21113,34478097,3447006,
bandwidth_sweep,,25,10,1024,2048,true,29839,1524,31376,33562180,3425473,903938,21113,34477785,3446586,
bandwidth_sweep,,25,20,1024,2048,true,15307,1319,16648,33562528,3425917,903938,21101,34478133,3447018,
bandwidth_sweep,,25,20,1024,2048,true,15335,1329,16681,33562456,3425941,903938,21113,34478061,3447054,
bandwidth_sweep,,25,20,1024,2048,true,15283,1319,16618,33562516,3425905,903938,21101,34478121,3447006,
bandwidth_sweep,,25,20,1024,2048,true,15341,1320,16676,33562456,3425941,903938,21113,34478061,3447054,
bandwidth_sweep,,25,20,1024,2048,true,15340,1316,16672,33562444,3425917,903938,21113,34478049,3447030,
bandwidth_sweep,,25,20,1024,2048,true,15359,1317,16693,33562432,3425917,903938,21113,34478037,3447030,
bandwidth_sweep,,25,20,1024,2048,true,15284,1318,16617,33562492,3425749,903938,21113,34478097,3446862,
bandwidth_sweep,,25,20,1024,2048,true,15344,1322,16684,33562444,3425917,903938,21113,34478049,3447030,
bandwidth_sweep,,25,20,1024,2048,true,15324,1320,16660,33562456,3425941,903938,21113,34478061,3447054,
bandwidth_sweep,,25,20,1024,2048,true,15292,1312,16627,33562456,3425965,903938,21113,34478061,3447078,
bandwidth_sweep,,25,50,1024,2048,true,6576,1212,7807,33561928,3425257,903950,21113,34477545,3446370,
bandwidth_sweep,,25,50,1024,2048,true,6593,1194,7805,33561988,3425305,903950,21113,34477605,3446418,
bandwidth_sweep,,25,50,1024,2048,true,6682,1186,7883,33562132,3425413,903950,21113,34477749,3446526,
bandwidth_sweep,,25,50,1024,2048,true,6698,1203,7922,33562168,3425485,903950,21113,34477785,3446598,
