group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,464,163,634,29872464,3298131,718475,21201,30598463,3319550,
,,1,1000,1024,4096,true,459,152,620,29872422,3298145,718475,21201,30598435,3319788,
,,1,1000,1024,4096,true,462,150,622,29872758,3298747,718475,21215,30598771,3320390,
download_sweep,,25,100,1024,1024,true,3055,1012,4346,29872436,3298089,715403,21215,30715344,3927942,
download_sweep,,25,100,1024,1024,true,3056,1010,4345,29872436,3298103,715403,21215,30715358,3927956,
download_sweep,,25,100,1024,1024,true,3052,1012,4340,29872436,3298089,715403,21215,30715358,3927942,
download_sweep,,25,100,1024,1024,true,3080,1010,4371,29872506,3298229,715403,21215,30715414,3928082,
download_sweep,,25,100,1024,1024,true,3057,1012,4350,29872450,3298089,715403,21215,30715372,3927942,
download_sweep,,25,100,1024,1024,true,3067,1011,4358,29872450,3298089,715403,21215,30715372,3927942,
download_sweep,,25,100,1024,1024,true,3069,1012,4360,29872450,3298089,715403,21215,30715358,3927942,
download_sweep,,25,100,1024,1024,true,3053,1011,4344,29872450,3298089,715403,21215,30715358,3927942,
download_sweep,,25,100,1024,1024,true,3053,1015,4348,29872436,3298089,715403,21215,30715358,3927942,
download_sweep,,25,100,1024,1024,true,3062,1011,4353,29872492,3298215,715403,21215,30715400,3928068,
download_sweep,,25,100,1024,2048,true,3076,1015,4519,29872492,3298243,716427,21215,30774052,3992152,
download_sweep,,25,100,1024,2048,true,3051,1011,4472,29872450,3298089,716427,21215,30774024,3991998,
download_sweep,,25,100,1024,2048,true,3044,1032,4474,29872436,3298089,716427,21215,30774010,3991998,
download_sweep,,25,100,1024,2048,true,3050,1013,4451,29872450,3298089,716427,21215,30774024,3991998,
download_sweep,,25,100,1024,2048,true,3044,1013,4447,29872436,3298089,716427,21215,30774010,3991998,
download_sweep,,25,100,1024,2048,true,2997,1019,4425,29872450,3298089,716427,21215,30774024,3991998,
download_sweep,,25,100,1024,2048,true,3054,1006,4479,29872436,3298089,716427,21215,30774010,3991998,
download_sweep,,25,100,1024,2048,true,3035,993,4432,29872450,3298089,716427,21215,30774024,3991998,
download_sweep,,25,100,1024,2048,true,3041,1006,4462,29872450,3298089,716427,21215,30774024,3991998,
download_sweep,,25,100,1024,2048,true,3045,1031,4500,29872436,3298103,716427,21215,30774010,3992012,
download_sweep,,25,100,1024,5120,true,3002,1016,4825,29872436,3298089,719499,21215,30949474,4056040,
download_sweep,,25,100,1024,5120,true,3006,1016,4830,29872436,3298089,719499,21215,30949474,4056040,
download_sweep,,25,100,1024,5120,true,3010,1017,4838,29872450,3298089,719499,21215,30949474,4056040,
download_sweep,,25,100,1024,5120,true,3045,1018,4866,29872436,3298089,719499,21215,30949474,4056040,
download_sweep,,25,100,1024,5120,true,3029,1011,4855,29872506,3298229,719499,21215,30949544,4056180,
