group,name,latency,bandwidth,upload_size,download_size,defer_decryption,proxy,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,false,1055,960,2062,29872034,3297319,717515,21215,30596655,3318556,
,,1,1000,1024,4096,true,false,963,909,1917,29872034,3297319,717515,21215,30596655,3318556,
,,1,1000,1024,4096,true,false,972,790,1808,29872020,3297319,717515,21215,30596641,3318556,
,,1,1000,1024,4096,true,true,301,200,522,451408,1029284,75059,6003,533605,1035309,
,,1,1000,1024,4096,true,true,288,188,497,451408,1029284,75059,6003,533605,1035309,
,,1,1000,1024,4096,true,true,288,197,505,451408,1029284,75059,6003,533605,1035309,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,53020,2216,56766,29872664,3298579,715453,21215,30769372,3928432,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52706,2169,56395,29872552,3298019,715467,21201,30769274,3927858,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52745,2176,56454,29872552,3298019,715467,21201,30769274,3927858,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52754,2099,56383,29872636,3298047,715467,21201,30769358,3927886,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52710,2152,56441,29872636,3298047,715467,21201,30769358,3927886,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52992,2200,56719,29872734,3298705,715467,21215,30769470,3928572,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52758,2218,56503,29872552,3298019,715467,21201,30769274,3927858,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52728,2093,56361,29872594,3298033,715467,21201,30769316,3927872,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52953,2199,56678,29872678,3298635,715467,21215,30769400,3928488,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,53088,2153,56765,29872860,3298929,715481,21229,30769596,3928796,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26836,1754,29500,29872650,3298607,715467,21201,30769372,3928446,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26882,1767,29555,29872678,3298663,715467,21215,30769400,3928516,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26840,1715,29477,29872622,3298593,715467,21201,30769344,3928432,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26860,1696,29474,29872804,3298747,715467,21201,30769540,3928586,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26877,1752,29544,29872580,3298523,715467,21201,30769302,3928362,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26883,1728,29540,29872874,3298999,715481,21201,30769624,3928838,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26840,1776,29543,29872650,3298593,715467,21201,30769372,3928432,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26871,1679,29461,29872566,3298523,715467,21201,30769288,3928362,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26766,1719,29389,29872692,3298551,715467,21201,30769414,3928390,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26790,1671,29381,29872594,3298579,715467,21201,30769316,3928418,
bandwidth_sweep_mpc,,25,20,1024,2048,true,false,13877,1548,16056,29872888,3298803,715467,21215,30769610,3928656,
