group,name,latency,bandwidth,upload_size,download_size,defer_decryption,proxy,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,false,321,102,426,29872538,3298411,717740,21201,30597802,3319634,
,,1,1000,1024,4096,true,false,364,100,467,29872720,3298705,717469,21229,30597984,3319956,
,,1,1000,1024,4096,true,false,320,99,422,29872566,3298425,717740,21229,30597536,3319676,
,,1,1000,1024,4096,true,true,62,71,147,451408,1029284,75059,6017,533944,1035323,
,,1,1000,1024,4096,true,true,65,73,152,451408,1029284,75362,6017,533888,1035323,
,,1,1000,1024,4096,true,true,63,72,150,451408,1029284,75059,6017,533944,1035323,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52131,1754,55181,29872356,3298033,715734,21257,30773003,3927928,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52122,1768,55187,29872356,3298019,715734,21257,30773003,3927914,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52123,1755,55174,29872356,3298033,715734,21257,30773003,3927928,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52116,1760,55172,29872384,3298019,715692,21215,30773003,3927886,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52111,1755,55163,29872398,3298005,715720,21257,30773031,3927900,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52128,1765,55190,29872356,3298005,715734,21257,30773003,3927900,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52126,1762,55185,29872356,3298033,715734,21257,30773003,3927928,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52117,1753,55166,29872356,3298019,715734,21257,30773003,3927914,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52126,1752,55175,29872356,3298033,715734,21257,30773003,3927928,
bandwidth_sweep_mpc,,25,5,1024,2048,true,false,52128,1749,55173,29872356,3298019,715734,21257,30773003,3927914,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26149,1305,28138,29872650,3298649,715692,21201,30773241,3928488,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26148,1315,28146,29872664,3298649,715692,21201,30773255,3928488,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26142,1309,28135,29872664,3298649,715692,21201,30773255,3928488,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26122,1313,28119,29872650,3298635,715692,21201,30773241,3928474,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26156,1315,28153,29872678,3298649,715692,21201,30773269,3928488,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26157,1307,28148,29872692,3298663,715692,21201,30773283,3928502,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26140,1307,28130,29872692,3298663,715692,21201,30773283,3928502,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26149,1319,28152,29872650,3298635,715692,21201,30773241,3928474,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26155,1322,28160,29872692,3298663,715692,21201,30773283,3928502,
bandwidth_sweep_mpc,,25,10,1024,2048,true,false,26141,1318,28142,29872650,3298635,715692,21201,30773241,3928474,
bandwidth_sweep_mpc,,25,20,1024,2048,true,false,13297,1111,14782,29872930,3299349,715692,21215,30773521,3929202,
bandwidth_sweep_mpc,,25,20,1024,2048,true,false,13289,1100,14768,29872902,3299349,715692,21215,30773493,3929202,
bandwidth_sweep_mpc,,25,20,1024,2048,true,false,13367,1097,14841,29872930,3299363,715692,21215,30773521,3929216,
bandwidth_sweep_mpc,,25,20,1024,2048,true,false,13369,1098,14845,29872930,3299363,715692,21215,30773521,3929216,
bandwidth_sweep_mpc,,25,20,1024,2048,true,false,13208,1101,14686,29873000,3299363,715692,21215,30773591,3929216,
bandwidth_sweep_mpc,,25,20,1024,2048,true,false,13307,1106,14790,29872944,3299349,715692,21215,30773535,3929202,
bandwidth_sweep_mpc,,25,20,1024,2048,true,false,13180,1097,14655,29873028,3299391,715692,21215,30773619,3929244,
bandwidth_sweep_mpc,,25,20,1024,2048,true,false,13226,1101,14706,29873000,3299363,715692,21215,30773591,3929216,
bandwidth_sweep_mpc,,25,20,1024,2048,true,false,13190,1100,14666,29873028,3299391,715692,21215,30773619,3929244,
bandwidth_sweep_mpc,,25,20,1024,2048,true,false,13188,1114,14679,29873000,3299391,715692,21215,30773591,3929244,
bandwidth_sweep_mpc,,25,50,1024,2048,true,false,5444,983,6632,29872762,3298971,715692,21215,30773353,3928824,
bandwidth_sweep_mpc,,25,50,1024,2048,true,false,5450,985,6638,29872706,3298803,715692,21215,30773297,3928656,
bandwidth_sweep_mpc,,25,50,1024,2048,true,false,5442,974,6620,29872762,3298971,715692,21215,30773353,3928824,
bandwidth_sweep_mpc,,25,50,1024,2048,true,false,5422,981,6610,29872762,3298971,715692,21215,30773353,3928824,
bandwidth_sweep_mpc,,25,50,1024,2048,true,false,5464,973,6644,29872762,3298985,715692,21215,30773353,3928838,
bandwidth_sweep_mpc,,25,50,1024,2048,true,false,5464,983,6651,29872762,3298971,715692,21215,30773353,3928824,
bandwidth_sweep_mpc,,25,50,1024,2048,true,false,5443,973,6623,29872720,3298957,715692,21215,30773311,3928810,
bandwidth_sweep_mpc,,25,50,1024,2048,true,false,5474,986,6664,29872776,3298831,715471,21215,30773367,3928684,
bandwidth_sweep_mpc,,25,50,1024,2048,true,false,5417,970,6588,29872734,3298831,715706,21215,30773339,3928684,
bandwidth_sweep_mpc,,25,50,1024,2048,true,false,5446,984,6635,29872734,3298831,715692,21215,30773325,3928684,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,2928,972,4076,29872454,3298089,715692,21215,30773031,3927942,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,2925,966,4067,29872440,3298159,715692,21215,30773017,3928012,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,2917,978,4070,29872454,3298075,715692,21215,30773031,3927928,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,2946,976,4100,29872440,3298145,715692,21215,30773017,3927998,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,2907,976,4059,29872454,3298075,715692,21215,30773031,3927928,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,2898,972,4048,29872440,3298145,715692,21215,30773017,3927998,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,2953,969,4098,29872440,3298159,715692,21215,30772989,3928012,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,2972,968,4118,29872468,3298341,715692,21215,30773045,3928194,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,2947,978,4104,29872454,3298089,715692,21215,30773031,3927942,
bandwidth_sweep_mpc,,25,100,1024,2048,true,false,2930,967,4074,29872454,3298103,715692,21215,30773031,3927956,
bandwidth_sweep_mpc,,25,250,1024,2048,true,false,1520,978,2676,29872104,3297683,715692,21201,30772681,3927522,
bandwidth_sweep_mpc,,25,250,1024,2048,true,false,1556,973,2707,29872230,3297711,715692,21201,30772807,3927536,
bandwidth_sweep_mpc,,25,250,1024,2048,true,false,1613,975,2765,29872104,3297725,715692,21201,30772681,3927550,
bandwidth_sweep_mpc,,25,250,1024,2048,true,false,1493,965,2636,29872034,3297557,715692,21215,30772611,3927410,
