group,name,latency,bandwidth,upload_size,download_size,defer_decryption,proxy,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
,,1,1000,1024,4096,true,false,378,119,505,29872622,3298565,718475,21229,30598621,3320236,
,,1,1000,1024,4096,true,false,411,116,535,29872804,3298943,718475,21229,30598803,3320446,
,,1,1000,1024,4096,true,false,404,115,528,29872650,3298425,718475,21215,30598663,3320096,
,,1,1000,1024,4096,true,true,117,91,242,451660,1093354,112291,6003,571125,1099379,
,,1,1000,1024,4096,true,true,102,90,222,451660,1093340,112291,6017,571083,1099379,
,,1,1000,1024,4096,true,true,104,93,233,451660,1093340,112291,6003,571055,1099365,
mpc_redact_recv,,20,20,1024,1024,true,false,13177,998,14554,29873028,3299391,715403,21215,30715950,3929244,
mpc_redact_recv,,20,20,1024,1024,true,false,13176,993,14554,29873028,3299391,715403,21215,30715950,3929244,
mpc_redact_recv,,20,20,1024,1024,true,false,13175,992,14532,29873028,3299391,715403,21215,30715950,3929244,
mpc_redact_recv,,20,20,1024,1024,true,false,13174,998,14542,29873028,3299391,715403,21215,30715950,3929244,
mpc_redact_recv,,20,20,1024,1024,true,false,13170,993,14528,29873028,3299391,715403,21215,30715950,3929244,
mpc_redact_recv,,20,20,1024,1024,true,false,13192,996,14556,29873000,3299391,715403,21215,30715922,3929244,
mpc_redact_recv,,20,20,1024,1024,true,false,13174,996,14535,29873028,3299391,715403,21215,30715950,3929244,
mpc_redact_recv,,20,20,1024,1024,true,false,13161,993,14516,29873028,3299391,715403,21215,30715950,3929244,
mpc_redact_recv,,20,20,1024,1024,true,false,13173,994,14530,29873028,3299391,715403,21215,30715950,3929244,
mpc_redact_recv,,20,20,1024,1024,true,false,13213,998,14575,29873000,3299363,715403,21215,30715922,3929216,
mpc_redact_recv,,20,20,1024,2048,true,false,13144,999,14629,29873028,3299391,716427,21215,30774602,3993300,
mpc_redact_recv,,20,20,1024,2048,true,false,13177,997,14644,29873028,3299391,716427,21215,30774602,3993300,
mpc_redact_recv,,20,20,1024,2048,true,false,13178,998,14648,29873028,3299391,716427,21215,30774602,3993300,
mpc_redact_recv,,20,20,1024,2048,true,false,13186,998,14665,29873028,3299391,716427,21215,30774602,3993300,
mpc_redact_recv,,20,20,1024,2048,true,false,13168,997,14636,29873028,3299391,716427,21215,30774602,3993300,
mpc_redact_recv,,20,20,1024,2048,true,false,13173,999,14643,29873028,3299391,716427,21215,30774602,3993300,
mpc_redact_recv,,20,20,1024,2048,true,false,13156,989,14620,29873000,3299391,716427,21215,30774574,3993300,
mpc_redact_recv,,20,20,1024,2048,true,false,13151,995,14619,29873028,3299391,716427,21215,30774602,3993300,
mpc_redact_recv,,20,20,1024,2048,true,false,13172,998,14640,29873028,3299391,716427,21215,30774602,3993300,
mpc_redact_recv,,20,20,1024,2048,true,false,13162,995,14634,29873028,3299391,716427,21215,30774602,3993300,
mpc_redact_recv,,20,20,1024,5120,true,false,13174,995,14885,29873028,3299391,719499,21215,30950066,4057342,
mpc_redact_recv,,20,20,1024,5120,true,false,13173,1000,14893,29873028,3299391,719499,21215,30950066,4057342,
mpc_redact_recv,,20,20,1024,5120,true,false,13174,999,14896,29873028,3299391,719499,21215,30950066,4057342,
mpc_redact_recv,,20,20,1024,5120,true,false,13161,998,14880,29873028,3299391,719499,21215,30950066,4057342,
mpc_redact_recv,,20,20,1024,5120,true,false,13150,995,14876,29873028,3299391,719499,21215,30950066,4057342,
mpc_redact_recv,,20,20,1024,5120,true,false,13175,999,14891,29873028,3299391,719499,21215,30950066,4057342,
mpc_redact_recv,,20,20,1024,5120,true,false,13167,996,14882,29873028,3299391,719499,21215,30950066,4057342,
mpc_redact_recv,,20,20,1024,5120,true,false,13161,996,14878,29873028,3299391,719499,21215,30950066,4057342,
mpc_redact_recv,,20,20,1024,5120,true,false,13172,997,14890,29873028,3299391,719499,21215,30950066,4057342,
mpc_redact_recv,,20,20,1024,5120,true,false,13149,993,14864,29873028,3299391,719499,21215,30950066,4057342,
mpc_redact_recv,,20,20,1024,10240,true,false,13166,998,15223,29873028,3299391,724880,21219,31242601,4121402,
mpc_redact_recv,,20,20,1024,10240,true,false,13148,991,15202,29873028,3299391,724880,21219,31242601,4121402,
mpc_redact_recv,,20,20,1024,10240,true,false,13171,1002,15236,29873028,3299391,724880,21219,31242601,4121402,
mpc_redact_recv,,20,20,1024,10240,true,false,13215,993,15263,29872944,3299363,724880,21219,31242517,4121374,
mpc_redact_recv,,20,20,1024,10240,true,false,13149,992,15199,29873028,3299391,724880,21219,31242601,4121402,
mpc_redact_recv,,20,20,1024,10240,true,false,13171,994,15220,29873028,3299391,724880,21219,31242601,4121402,
mpc_redact_recv,,20,20,1024,10240,true,false,13172,995,15216,29873028,3299391,724880,21219,31242601,4121402,
mpc_redact_recv,,20,20,1024,10240,true,false,13170,997,15216,29873028,3299391,724880,21219,31242601,4121402,
mpc_redact_recv,,20,20,1024,10240,true,false,13150,992,15190,29873028,3299391,724880,21219,31242601,4121402,
mpc_redact_recv,,20,20,1024,10240,true,false,13174,999,15217,29873028,3299391,724880,21219,31242601,4121402,
mpc_redact_recv,,20,20,1024,20480,true,false,13148,1047,15679,29873028,3299391,735997,21219,31829702,4665948,
mpc_redact_recv,,20,20,1024,20480,true,false,13159,1047,15664,29873028,3299391,735997,21219,31829702,4665948,
mpc_redact_recv,,20,20,1024,20480,true,false,13160,1045,15657,29873028,3299391,735997,21219,31829702,4665948,
mpc_redact_recv,,20,20,1024,20480,true,false,13183,1043,15681,29873000,3299391,735997,21219,31829674,4665948,
mpc_redact_recv,,20,20,1024,20480,true,false,13180,1048,15679,29873028,3299391,735997,21219,31829702,4665948,
mpc_redact_recv,,20,20,1024,20480,true,false,13169,1045,15658,29873028,3299391,735997,21219,31829702,4665948,
mpc_redact_recv,,20,20,1024,20480,true,false,13192,1048,15695,29873028,3299391,735997,21219,31829702,4665948,
mpc_redact_recv,,20,20,1024,20480,true,false,13165,1048,15676,29873028,3299391,735997,21219,31829702,4665948,
mpc_redact_recv,,20,20,1024,20480,true,false,13161,1048,15661,29873028,3299391,735997,21219,31829702,4665948,
mpc_redact_recv,,20,20,1024,20480,true,false,13191,1050,15697,29873028,3299391,735997,21219,31829702,4665948,
mpc_redact_recv,,20,20,1024,30720,true,false,13173,1048,16345,29873000,3299391,746237,21219,32414728,4922172,
mpc_redact_recv,,20,20,1024,30720,true,false,13156,1047,16304,29873028,3299391,746237,21219,32414756,4922172,
mpc_redact_recv,,20,20,1024,30720,true,false,13161,1045,16340,29873028,3299391,746237,21219,32414756,4922172,
mpc_redact_recv,,20,20,1024,30720,true,false,13158,1039,16314,29873028,3299391,746237,21219,32414756,4922172,
mpc_redact_recv,,20,20,1024,30720,true,false,13157,1045,16316,29873028,3299391,745902,21219,32414756,4922172,
mpc_redact_recv,,20,20,1024,30720,true,false,13160,1044,16319,29873028,3299391,745902,21219,32414756,4922172,
mpc_redact_recv,,20,20,1024,30720,true,false,13149,1044,16290,29873028,3299391,745902,21219,32414756,4922172,
mpc_redact_recv,,20,20,1024,30720,true,false,13164,1042,16321,29873028,3299391,746237,21219,32414756,4922172,
mpc_redact_recv,,20,20,1024,30720,true,false,13175,1047,16334,29873028,3299391,746237,21219,32414756,4922172,
mpc_redact_recv,,20,20,1024,30720,true,false,13183,1045,16364,29873028,3299391,746237,21219,32414756,4922172,
mpc_redact_recv,,20,20,1024,40960,true,false,13161,1045,17206,29873028,3299391,757354,21219,33000037,4986340,
mpc_redact_recv,,20,20,1024,40960,true,false,13211,1045,17216,29872930,3299363,757354,21219,32999953,4986312,
mpc_redact_recv,,20,20,1024,40960,true,false,13204,1049,17247,29873000,3299391,757354,21219,33000023,4986340,
